Title,Price,isPrime,Url,Rating,Reviews,Id
"QTHREE Scheda grafica AMD Radeon RX 550, 4 GB, GDDR5, 128 Bit, scheda video da gioco desktop per PC, PCI Express 3.0 X8, DirectX 12, GPU per computer, DisplayPort, HDMI, DVI-D Dual Link",99.99,1,https://www.amazon.it//sspa/click?ie=UTF8&spc=MToyNzk1MDY2NTU1MTc4Njc2OjE2OTk0NDAwNjc6c3BfYXRmOjMwMDA0MTgyMTU5NjYzMjo6MDo6&url=%2FSAPLOS-Radeon-RX-550-computer%2Fdp%2FB09PYHXPTQ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgpu%26qid%3D1699440067%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.3,23,0
"VBESTLIFE Scheda Grafica RX580 8G GDDR5, Doppia Ventola 1244 MHz 14000 MHz 256 Bit GPU Schede Grafiche da Gioco, Supporto 3 DP HD Interfaccia Multimediale Scheda Video Scheda Video",124.17,1,https://www.amazon.it//sspa/click?ie=UTF8&spc=MToyNzk1MDY2NTU1MTc4Njc2OjE2OTk0NDAwNjc6c3BfYXRmOjMwMDA0OTUxNDEyMzUzMjo6MDo6&url=%2FVBESTLIFE-Grafiche-Supporto-Interfaccia-Multimediale%2Fdp%2FB0BFR4L3HS%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgpu%26qid%3D1699440067%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,5.0,1,1
"ASUS Phoenix AMD Radeon RX 550 Scheda Grafica, 4GB GDDR5, PCIe 3.0, HDMI, DisplayPort, DVI-D, Resistenza Alla Polvere IPX5, Ventole con Doppio Cuscinetto a Sfera, Tecnologia Auto-Extreme, Nero",112.78,1,https://www.amazon.it//ASUS-DisplayPort-Resistenza-Cuscinetto-Auto-Extreme/dp/B089WFBK4H/ref=sr_1_5?keywords=gpu&qid=1699440067&sr=8-5&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.6,239,2
"ASUS TUF Gaming AMD Radeon RX 6500 XT OC Edition Scheda Grafica, AMD RDNA 2, PCIe 4.0, 4GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Ventole Axial Tech e Doppi Cuscinetti a Sfera, GPU Tweak II, Nero",179.52,1,https://www.amazon.it//ASUS-Grafica-DisplayPort-Ventole-Cuscinetti/dp/B09PRRQ3QC/ref=sr_1_6?keywords=gpu&qid=1699440067&sr=8-6&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.1,76,3
"Gigabyte NVIDIA GeForce RTX 4060 GAMING OC Scheda grafica - 8GB GDDR6, 128-bit, PCI-E 4.0, 2550MHz Core Clock, 2x DP 1.4, 2x HDMI 2.1a, NVIDIA DLSS 3 - GV-N4060GAMING OC-8GD",367.9,1,https://www.amazon.it//Gigabyte-NVIDIA-GeForce-GAMING-grafica/dp/B0C8ZS7N73/ref=sr_1_7?keywords=gpu&qid=1699440067&sr=8-7&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.6,21,4
"Gigabyte NVIDIA GeForce RTX 3060 GAMING OC V2 Scheda grafica - 12GB GDDR6, 192-bit, PCI-E 4.0, 1837MHz Core Clock, RGB, 2x DP 1.4, 2 x HDMI 2.1, NVIDIA Ampere - GV-N3060GAMING OC-8GD",328.28,0,https://www.amazon.it//Gigabyte-GeForce-3060-GAMING-V2/dp/B096Y2TYKV/ref=sr_1_8?keywords=gpu&qid=1699440067&sr=8-8&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.7,1138,5
"ASUS DUAL NVIDIA GeForce RTX 4060 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 17 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX-4060-O8G",349.68,0,https://www.amazon.it//ASUS-GeForce-Grafica-128-bit-DUAL-RTX-4060-O8G/dp/B0C8JT7K1M/ref=sr_1_9?keywords=gpu&qid=1699440067&sr=8-9&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.5,50,6
"MSI Radeon RX 6750 XT GAMING X TRIO 12G - Scheda grafica da gaming AMD RX 6750 XT, GPU 2554/2623 MHz, memoria DDR6 da 12000 MB, velocitA  di memoria 18000 MHz, Memory Bus 192bit",454.77,1,https://www.amazon.it//MSI-Radeon-6750-GAMING-TRIO/dp/B09YHTMKL2/ref=sr_1_10?keywords=gpu&qid=1699440067&sr=8-10&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.6,2036,7
"Asus Dual NVIDIA GeForce RTX 3060 V2 OC Edition Scheda Grafica, 12GB GDDR6 192-bit 15 Gbps PCIE 4.0, GPU NVIDIA Ampere, DUAL-RTX3060-O12G-V2",347.0,1,https://www.amazon.it//ASUS-GeForce-Grafica-192-bit-DUAL-RTX3060-O12G-V2/dp/B096658ZWP/ref=sr_1_11?keywords=gpu&qid=1699440067&sr=8-11&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,4.6,1154,8
"Scheda Grafica RX 580, Scheda Grafica GDDR5 da 8 GB 256 Bit con GPU 1284 MHz, 60 Hz 4K, PCI Express 3.0, 2 Ventole di Raffreddamento, Interfaccia DP HDMI DVI D",140.87,1,https://www.amazon.it//Grafica-Express-Ventole-Raffreddamento-Interfaccia/dp/B0B8Q724XQ/ref=sr_1_12?keywords=gpu&qid=1699440067&sr=8-12&ufe=app_do%3Aamzn1.fos.9d4f9b77-768c-4a4e-94ad-33674c20ab35,3.7,56,9
"Nuwo Scheda Grafica GT730 NVIDIA GeForce GT 730, 2 GB DDR3, 128 bit, 700MHz, Scheda Video GPU a Basso Profilo per PC Gaming, DVI, HDMI, VGA, PCI Express 2.0, Supporta DirectX 11, Bulk",49.9,1,https://www.amazon.it//Nuwo-Grafica-GeForce-Profilo-Supporta/dp/B0C6MZ6QMQ/ref=sr_1_13?keywords=gpu&qid=1699440067&sr=8-13,4.3,36,10
